nid,標題,疑似CSS或JS外洩,風險等級,問題類型,問題片段,內文,議題分類,行動分類,關鍵字
750,地球公民協會通訊第9期,否,,,,"<div>
<div><a href=""http://issuu.com/met2007/docs/met9?mode=embed&amp;layout=http%3A%2F%2Fskin.issuu.com%2Fv%2Fgrass%2Flayout.xml&amp;showFlipBtn=true"">Open publication</a> - Free <a href=""http://issuu.com"">publishing</a> - <a href=""http://issuu.com/search?q=taiwan"">More taiwan</a></div>
</div>",,,
814,地球公民協會通訊第10期,否,,,,"<div>
<div><a href=""http://issuu.com/met2007/docs/met10?mode=embed&amp;layout=http%3A%2F%2Fskin.issuu.com%2Fv%2Fgrass%2Flayout.xml&amp;showFlipBtn=true"">Open publication</a> - Free <a href=""http://issuu.com"">publishing</a> - <a href=""http://issuu.com/search?q=water"">More water</a></div>
</div>",,,
1435,說明 - 教育‧出版,否,,,,"<div>
<div>
<p><span><span><strong>教育是改變價值觀，連結更多正面的力量，促成行動的關鍵工作。</strong></span></span></p>
<p><span><span><strong>我們到學校、社區、各種社團演講；舉辦講座、營隊；出版「地球公民通訊」雜誌及教育手冊；從事街頭宣傳，提昇人民環境意識，展開行動。</strong></span></span></p>
</div>
</div>",,,
1436,說明 - 國會與環境,否,,,,"<div>
<div>
<div>
<div>
<p><span><span><strong>國會決定了國家的環境法案與預算案，地球公民透過持續監看和記錄國會議事，一方面傳遞及時訊息和定期週報給本會和友團，據以進行回應；同時也主動出擊，推進友善環境的法案。以下是我們的成果：</strong></span></span></p>
<ul>
<li><span><span><span><strong>修改獎勵造林審查辦法，防範「砍大樹、種小樹」再發生（2010）</strong></span></span></span></li>
<li><span><span><span><strong>東部發展條例，刪除了所有國有土地財團化的條款（2011）</strong></span></span></span></li>
<li><span><span><span><strong>促成政府修訂電子業、石化業放流水標準（2011）</strong></span></span></span></li>
</ul>
</div>
</div>
</div>
</div>",,,
1437,"關於地球公民基金會 Citizen of the Earth, Taiwan（CET）",否,,,,"<p><span>地球公民基金會是推展環境保護的公益團體， 2010年，由174位捐款人捐助基金登記立案為財團法人，是台灣第一個透過大眾募款成立的環保基金會。在此之前，已累積12年環保運動經驗。</span></p>
<p><span>地球公民深信：專業的環保團體＋公民行動，是改變世界的最大動力。<br>
	我們透過調查研究、揭露環境問題，提出解決方案，連結各種社會力，改變法令政策，以各種行動帶來正面的改變！</span></p>
<p><span>我們期待重建人與土地的和諧關係，建立一個永續的社會，善盡「地球公民」的責任。</span></p>
<p><span>為了維持獨立與專業自主，我們不接受政府補助，需要您的捐助！</span></p>
<p><span><span><strong>地址</strong></span></span></p>
<p><span>〈高雄〉高雄市左營區博愛二路198號9f-2 &nbsp;電話 07-5561585&nbsp;&nbsp;傳真 07-5561285</span></p>
<p><span>〈台北〉台北市北平東路28號9f-2 電話 02-23920371&nbsp;傳真 02-23920381</span></p>
<p><span>〈花蓮〉97072花蓮縣花蓮市建國路二段536號&nbsp; 電話 0920-711105</span></p>
<p><span>&nbsp;E-Mail<strong>：</strong><a href=""mailto:citizenoftheearth.tw@gmail.com"">citizenoftheearth.tw@gmail.com</a></span></p>
<p><strong><span><span>地球公民基金會．董監事</span></span></strong></p>
<p><span>董事長：廖本全<br>
	董　事：蘇振輝、楊博名、杜文苓、詹順貴、黃煥彰、傅志男<br>
	監　事：陳銘彬、劉思龍、邱花妹<br>
	執行長：李根政</span></p>",,,
1439,說明 - 氣候變遷與能源,否,,,,"<div>
<div>
<p><strong>全球暖化肇因於人類大量排放溫室氣體，其中高碳排放的工業更是最大禍首。地球公民關注燃煤電廠、核電及再生能源的發展，致力於減少能源工業及石化業的CO2排放，倡議儉樸生活與低碳經濟。以下是我們的成果：</strong></p>
<ul>
<li><span><strong>2009年，我們促使位於高雄的台電大林廠擴建計畫，從4座80萬瓩的燃煤機組減為2座，減少了800多萬噸的CO2增排，相當於高雄市住宅、商業活動一年的排碳量。</strong></span></li>
</ul>
</div>
</div>",,,
1440,說明 - 山林水土,否,,,,"<div>
<div>
<p><span><strong><span>地球公民致力保護山林國土，關切不當的造林政策等山林破壞；反對水庫的開發，支持水資源的合理利用；保護河川、溼地、農地，反對公有土地財團化、海岸的水泥化。以下是我們的成果：</span></strong></span></p>
<ul>
<li><span><span>修改獎勵造林審查辦法，防範「砍大樹、種小樹」持續發生</span></span></li>
<li><span><span>2011年通過的東部發展條例，刪除了國有土地財團化的條款</span></span></li>
<li><span><span>持續反對吉洋人工湖的興建，保護水資源和農地</span></span></li>
<li><span><span>透過和社區的合作，成功推動高雄市茄萣溼地變更為公園（原為都市計畫住商用地）</span></span></li>
</ul>
</div>
</div>",山林水土,,
1441,說明 - 工業汙染,否,,,,"<div>
<p><span><strong>我們致力於反對高污染、高耗能工業的擴張，主張污染的總量管制，污染排放資訊的公開，以及制定更嚴謹的法規，扼止環境的惡化，讓人民遠離毒性化學物所的傷害。以下是我們的成果：</strong></span></p>
<ul>
<li><span><span><strong>由於我們的行動，減少了中油三輕、台電大林擴建計畫對於空氣品質的衝擊</strong></span></span></li>
<li><span><span><strong>與友會、學者、律師及農民形成伙伴關係，參與監督科學園區開發案的影響，並倡議化學品的完整管理政策</strong></span></span></li>
<li><strong><span><span><span>長期追蹤台塑仁武廠排放毒化物到後勁溪，促使環保署調查出該廠地下水污染超標30萬倍的驚人事實；促成制定石化業放流水標準</span></span></span></strong></li>
</ul>
</div>",工業污染,,
1442,我們的工作,否,,,,"<p></p><p><a href=""/climate""><img alt src=""/sites/cet-taiwan.org/files/Overview-1.jpg"" width=""316"" height=""119"" loading=""lazy""></a><a href=""/industry""><img alt src=""/sites/cet-taiwan.org/files/Overview-2.jpg"" width=""316"" height=""119"" loading=""lazy""></a></p>
<p>
</p><p><a href=""/mountain""><img alt src=""/sites/cet-taiwan.org/files/Overview-3.jpg"" width=""315"" height=""119"" loading=""lazy""></a><a href=""/parliament""><img alt src=""/sites/cet-taiwan.org/files/Overview-4.jpg"" width=""313"" height=""119"" loading=""lazy""></a></p>
<p>
</p><p><a href=""/education""><img alt src=""/sites/cet-taiwan.org/files/Overview-5.jpg"" width=""316"" height=""121"" loading=""lazy""></a></p>",,,
1451,議題頁面 - 教育 ‧ 出版,否,,,,,,,
1452,說明 - 生活與環境,否,,,,"<p><strong><span>地球公民主張「污染減半、綠地加倍」，倡議減少使用私人載具，支持大眾運輸、單車與步行，同時鼓勵每個人改變生活消費習慣，推廣倫理消費與儉樸生活。</span></strong></p>
<p>	我們推動「大賣場再生衛生紙上架」，讓高雄地區數家大賣場加入販賣再生衛生紙的行列。</p>",再生衛生紙,,
1584,搶救良田 反對台糖農地變工廠,否,,,,"<p><img alt src=""/sites/cet-taiwan.org/files/su_0.jpg""></p>
<p><strong><span><span>餐桌上除了講究蔬果魚肉是否新鮮、美味，您可曾想過，這些農漁產品是喝什麼水長大的？</span></span></strong></p>
<p>	今年初，地球公民基金會揭露：<a href=""http://www.cet-taiwan.org/files/120713-2_0.pdf"">高雄岡山有49公頃農田使用飽含過量鋅、鉻等重金屬的阿公店溪水來灌溉！</a>人體攝入過量重金屬將影響肝功能和免疫力，這些汙染源，都來自岡山的金屬表面製造業。</p>
<p><strong><span><span>如今這些金屬產業正向外擴張到台糖新園農場與九鬮農場，威脅北高雄僅存最好的2000公頃優良農地和1200公頃養殖魚塭，迫害你我飲食安全…您能坐視不管嗎？</span></span></strong></p>
<table>
<tbody>
<tr>
<td><span><span><span>事發現場</span></span></span></td>
<td><span><span><span>發生什麼事</span></span></span></td>
<td><span><span><span>反對的理由</span></span></span></td>
</tr>
<tr>
<td>
<p><a href=""http://www.cet-taiwan.org/node/1585""><img alt height=""98"" src=""/sites/cet-taiwan.org/files/1523-2.jpg"" width=""147"" loading=""lazy""></a></p>
</td>
<td>
<p><a href=""http://www.cet-taiwan.org/node/1586""><img alt height=""96"" src=""/sites/cet-taiwan.org/files/1523-3.jpg"" width=""249"" loading=""lazy""></a></p>
</td>
<td>
<p><a href=""http://www.cet-taiwan.org/node/1587""><img alt height=""98"" src=""/sites/cet-taiwan.org/files/1523-4.jpg"" width=""152"" loading=""lazy""></a></p>
</td>
</tr>
</tbody>
</table>
<p><span><span>（點圖看全文）</span></span></p>
<p><strong><span><span>我們的呼籲與目標</span></span></strong></p>
<ol>
<li><span>高雄市府立即停止台糖新園與九鬮農場的開發計畫，撤銷核可、拒絕新申請。</span></li>
<li><span>發展路竹、阿蓮區優良農業及文化遊憩產業，拒絕工業污染入侵。</span></li>
<li><span>內政部、經濟部、農委會終止台糖土地不當釋出亂象。</span></li>
<li><span>環保署檢討並改善環評機制漏洞。</span></li>
</ol>
<p><strong><span><span>加入行動</span></span></strong></p>
<p><span><span><span>經驗告訴我們，外界的支持能刺激居民團結與勇氣。你也可以當居民的靠山、做自己糧食的守護者。</span></span></span></p>
<ul>
<li><span><span>連署搶救北高雄農業命脈！(<a href=""http://campaign.tw-npo.org/sign.php?id=2012061901283900"">立刻連署</a>)</span></span></li>
<li><span><span>協助訊息傳遞</span><br>
		（1）擺放「搶救北高雄農業命脈」文宣在路竹、阿蓮、湖內、岡山的鄰里公佈欄、廟口、早餐店、小吃店等。(<a href=""http://www.cet-taiwan.org/files/120713.pdf"">下載</a><a href=""http://www.cet-taiwan.org/files/120713.pdf"">宣傳DM</a>或電洽許先生07-6952490)<br>
		（2）在個人部落格、FB、噗浪轉貼此網頁。</span></li>
<li><span><span><span>訂閱地球公民電子報，持續掌握最新消息。</span> </span>(<a href=""http://www.cet-taiwan.org/node/1148"">我要訂閱</a>)</span></li>
</ul>
<p>&nbsp;</p>
<p><strong><span><span>連署團體</span></span></strong></p>
<p><span>地球公民基金會、</span><span>台南市水資源保育聯盟、台南環境保護聯盟、</span><span>新園農場環境自救會、</span><span>台南市社區大學研究發展學會、高雄市茄萣舢筏協會、大崗山人文協會、荒野保護協會、高雄市野鳥學會…(陸續增加中)</span></p>
<p>&nbsp;</p>
<p><strong><span><span>延伸閱讀</span></span></strong></p>
<ul>
<li><span><a href=""http://www.facebook.com/media/set/?set=a.288866481174605.68376.148513668543221&amp;type=3"">地球公民用照片帶你去阿公店溪溯溪</a></span><a href=""http://www.cet-taiwan.org/files/m15-09.pdf""><span>&nbsp;</span></a></li>
<li><a href=""http://www.cet-taiwan.org/files/m15-09.pdf""><span>知其不可而為之---記台糖土地開發(地球公民基金會第15期通訊)</span></a></li>
<li><span><a href=""http://www.cet-taiwan.org/node/1503"">北高雄農業斷脈危機！高污染工業進駐新園農場</a></span></li>
</ul>",國土治理;土水污染,,
1585,事發現場：3200公頃、經濟產值2億元以上的北高雄糧倉,否,,,,"<p><a href=""http://www.cet-taiwan.org/node/1584""><strong><span>回到主頁</span></strong></a></p>
<p><img src=""/sites/cet-taiwan.org/files/120713-2.jpg"" alt height=""430"" width=""644"" loading=""lazy""></p>
<p><span><span>台糖新園農場</span></span></p>
<p><span>位 於中山高路竹交流道下，北鄰二仁溪與台南交界，東倚新園圳(土庫排水)緊鄰阿蓮。南邊跨過台28線，是路竹區300公頃「特定農業區」(即法定優良農地， 專責生產國家糧食，不得任意開發)，種植番茄、花椰菜等蔬果，運銷全台。西邊位於二仁溪下游的是湖內區1200公頃養殖區，養殖白蝦、鰻魚、虱目魚等，狂 銷全台、揚名日本，年產值高達2億元以上。</span></p>
<p><span><span>台糖九鬮農場</span></span></p>
<p><span>位 於大崗山腳下、台19甲兩側，恰好位於阿蓮、岡山共1700公頃特定農業區的中心位置。這裡盛產芭樂、棗子、蔬菜、稻米，每年舉辦大崗山龍眼蜜文化節，近 期有些農民也嘗試有機耕作，地方人士亦致力發展大崗山文化產業。九鬮農場西邊與南邊是地勢低窪的玉庫、潭底等社區，逢雨必淹，甚至發生過水漫高速公路的事 件，因此先民曾在九鬮農場挖掘大埤，攔截大崗山下來的水勢。</span></p>",,,
1586,發生什麼事：工廠入侵農業糧倉,否,,,,"<p><a href=""http://www.cet-taiwan.org/node/1584""><strong><span>回到主頁</span></strong></a></p>
<p><img src=""/sites/cet-taiwan.org/files/1523-3_0.jpg"" alt height=""258"" width=""656"" loading=""lazy""></p>
<p><span><span>圖說：新園、九鬮農場開發案(皆為法定高汙染產業)</span></span></p>
<p><span>在 《大溫暖大投資政策》先開路、《產業創新條例》後護航之下，自2009年起，台糖預計釋出777.5公頃土地給公民營企業承租，作為工業開發，其中新園農 場就佔了238.7公頃，目前已出租60.1公頃分割給6家民營金屬與化學工廠，不乏需電鍍、酸洗的表面處理業；而九鬮農場則將由高雄市政府開發成150 公頃的金屬扣件產業園區。</span></p>",,,
1587,反對的理由：重金屬汙染、淹水、糧食不足,否,,,,"<p><a href=""http://www.cet-taiwan.org/node/1584""><strong><span>回到主頁</span></strong></a></p>
<p><img src=""/sites/cet-taiwan.org/files/120713-4.jpg"" alt height=""425"" width=""650"" loading=""lazy""></p>
<p><span><span>300公頃特定農業區、1200公頃養殖魚塭，恐遭重金屬汙染</span></span></p>
<p><span>新園農場開發案中，多數是金屬電鍍製造業，廢水中常含有毒重金屬（如鎳、鋅、銅），且多為強酸強鹼，甚至不乏劇毒氰化物，極易造成河川生態嚴重死亡。這些工廠的廢水將排入新園圳與二仁溪，衝擊下游農漁用水。</span></p>
<p><span><span>惡化阿蓮、路竹、岡山、湖內區域淹水</span></span></p>
<p><span>新園農場開發，會增加新園圳(土庫排水)與二仁溪的洪水高度；九鬮農場開發，喪失攔截大崗山雨水的功能。兩者加成，必加劇水患災情。</span></p>
<p><span><span>切割申請規避環評，違反工廠集中管理趨勢</span></span></p>
<p><span>業者個別申請開發新園農場，規避10公頃以上須環評的規定，然而毗連已達大型開發規模，卻沒有整體環境影響評估，也缺乏工業管理中心與聯合環保設施，違反工廠集中管理的趨勢。</span></p>
<p><span><span>打擊北高雄打拼多年的農漁產業成果</span></span></p>
<p><span>《台灣南部區域計劃》及《高雄縣綜合發展計畫》，原規劃新園農場為北高雄都會公園，在阿蓮設大崗山宗教文化公園，推展自然環保農業。如今在優良農業區蓋大型工業區，倒行逆施，產業願景錯亂。</span></p>
<p><span><span>居民沒有發言權</span></span></p>
<p><span>依據《區域計畫法》、《產業創新條例》等法規及現行資訊公開程序，下游受影響的居民因為不屬於「法定關係人」，往往到木已成舟時才獲知開發計畫，至今九成以上居民仍被蒙在鼓裡。這一切都合法，但不合理。</span></p>
<p><span><span>阿公店溪水質更糟</span></span></p>
<p><span>新園農場和九鬮農場都位於阿公店溪支流—新園圳(土庫排水) —上游，工業廢水最終會流入阿公店溪，讓阿公店溪的水質更惡劣，污染查緝更加困難。</span></p>
<p><span><span>提高糧食不足風險</span></span></p>
<p><span>台糖接收日本會社土地約11萬公頃，多年來透過租售、配合政策重劃，目前僅餘5萬多公頃。在糧食自給率僅剩3成的台灣，佔盡全台最優良農地的台糖地，更應成為糧食保全基地，不該輕易開發。</span></p>",,,
1588,呼吸潔淨空氣 人人有權！,否,,,,"<p><span><img alt height=""256"" src=""/sites/cet-taiwan.org/files/ap.jpg"" width=""660"" loading=""lazy""></span></p>
<p><span>您知道從彰化縣開始，中南部各縣市空氣中的懸浮微粒濃度都不符合空氣品質標準嗎？學者研究發現，台中火力發電廠、雲林六輕石化廠是極大的污染源，而四十幾年來，鋼鐵業、電力業、石化業在高雄也製造了嚴重的空污，再加上汽機車廢氣等，使中南部885萬人長期呼吸著有害健康的惡劣空氣。</span></p>
<p>	2009年至2011年，北部空品區懸浮微粒（年均濃度）符合空氣品質標準的比率是百分之百，而高屏空品區平均只有12.13％符合標準，雲嘉南空品區也只有14.8％達到標準。</p>
<p><span>此外，高屏空品區的臭氧濃度冠全台，高雄市與屏東縣空氣中的臭氧濃度都不及格。儘管如此，許多高污染的工廠仍繼續在中南部興建或擴張。</span></p>
<p><span>1999年時，空污法增訂總量管制條文，但因經濟部反對，至今未能實施。地球公民基金會要求政府盡快於中南部實施空污「總量管制」，並以更具減量成效且符合環境倫理的配套辦法，訂定污染減量的時程，改善空污！ </span></p>
<p><span><img alt height=""273"" src=""/sites/cet-taiwan.org/files/ap-002.jpg"" width=""660"" loading=""lazy""></span></p>
<p>&nbsp;</p>
<p><span>運動，本是為了強健體魄、舒緩身心，但若人們運動時吸入的空氣是含有高濃度的污染且毒性成分複雜，對傷害的健康非常大。</span></p>
<p><span>在空氣品質不良的情況下，呼吸道敏感的老人、小孩，常常渾然不知地在公園、操場運動，單車騎士也蒙受其害。</span></p>
<p><span>長期呼吸污染空氣的中南部民眾已經忍無可忍，我們要呼吸乾淨的空氣，我們渴望健康無毒的環境。我們透過空污總量管制連署等等行動，向政府表達我們的心聲：我要乾淨空氣！</span><span><span>&nbsp;</span></span></p>
<p><span><span><span><span><strong>空污對健康危害很大</strong></span></span></span></span></p>
<p><span><span><strong>臭氧：</strong></span><br>
	對呼吸系統有刺激性，會引起咳嗽、氣喘、頭痛、疲倦及肺部之傷害，引發支氣管炎、肺功能障礙等，也是造成氣喘的主要污染物。</span></p>
<p><span><span>懸浮微粒：</span><br>
	粒徑小於10微米以下的微粒物質，能深入人體肺部深處，如該粒子附著其他污染物，則將加深對呼吸系統之危害。</span></p>
<p><span><span>細懸浮微粒：</span><br>
	粒徑小於2.5微米以下的微粒物質，會穿透肺泡，隨血液循環全身，引發一連串發炎反應。細懸浮微粒會影響新生兒體重、促發氣喘，增加心臟及呼吸道疾病（如慢性支氣管炎、肺氣腫等）、增加肺癌死亡率、全死亡率等。</span><br>
	<span><br>
	<span><span><strong>延伸閱讀：</strong></span></span></span></p>
<ul>
<li><strong><a href=""http://www.cet-taiwan.org/node/2071""><span>拒絕空汙，做自己的英雄！</span></a></strong><span>&nbsp;</span></li>
<li><span><strong><a href=""node/1601"">空污總量管制Q&amp;A</a></strong></span></li>
<li><span><strong><a href=""http://www.cet-taiwan.org/node/1589"">空污狼來了？</a></strong></span></li>
<li><span><strong><a href=""/node/1592"">發動空污連署 高市議員跨黨派相挺</a></strong></span></li>
<li><span><strong><a href=""files/M13-7.pdf"">我們要空污總量管制！（地球公民通訊第13期）</a></strong></span></li>
<li><span><strong><a href=""files/14-8.pdf"">改善高屏空污的幾個可能（地球公民通訊第14期）</a></strong></span></li>
<li><span><strong><a href=""files/m15-06.pdf"">小心黃燈！（地球公民通訊第15期）</a></strong></span></li>
</ul>",空氣污染,,
1590,訂閱地球公民基金會電子報,否,,,,<p>載入中…</p>,,,
1597,志工招募,否,,,,"<p><img src=""/sites/cet-taiwan.org/files/121130-1.jpg"" alt height=""312"" width=""660"" loading=""lazy""></p>
<p>
載入中…</p>",,,
1599,成果報告,否,,,,"<ul>
<li><a href=""http://www.cet-taiwan.org/files/2007年MET成果報告.pdf""><span>2007年成果報告</span></a></li>
<li><a href=""http://www.cet-taiwan.org/files/2008年MET成果報告.pdf""><span>2008年成果報告</span></a></li>
<li><a href=""http://www.cet-taiwan.org/files/2009年MET成果報告.pdf""><span>2009年成果報告</span></a></li>
<li><a href=""http://www.cet-taiwan.org/files/2010年MET成果報告.pdf""><span>2010年成果報告</span></a></li>
<li><a href=""http://www.cet-taiwan.org/files/2011年CET成果報告.pdf""><span>2011年成果報告</span></a></li>
<li><span><a href=""files/2012年CET成果報告.pdf"">2012年成果報告</a></span></li>
<li><span>2013年成果報告</span></li>
<li><span><a href=""/files/2014年CET成果報告.pdf"">2014年成果報告</a><br></span></li>
</ul>",,,
1601,空污總量管制Q&amp;A,否,,,,"<p><span> <span><strong>Q：為什麼我們要連署？</strong></span></span></p>
<p><span>A：因為高屏地區的空氣品質長期為全台最糟，全台固定污染源（無法因本身動力而改變位置之污染源，也就是一般所稱的大工廠）中大約有45％是位在高雄市，如果沒有污染總量的管制，即使每根煙囪都合格，空氣品質還是很糟。</span></p>
<p><span>空污法第8條在1999年時雖增訂總量管制的條文，第12條卻規定要經濟部會同才能公告實施。這13年來，因經濟部不同意而使總量管制的條文形同無物，與高污染的煙囪為鄰，成為高屏人永無止盡的夢魘！我們的連署，就是要匯聚民意，讓經濟部及民意代表聽到我們的聲音，同意公告實施，或者修改法條。</span></p>
<p><span><strong>Q：「空污總量管制」要管什麼污染物？</strong></span></p>
<p><span>A：空污總量管制：指在一定區域內，為有效改善空氣品質，對於該區域空氣污染物總容許排放數量所作之限制措施。本法主管機關為環保署，將管制大型工廠排放的：氮氧化物、揮發性有機污染物（在光照之下，這兩者均會變成臭氧），以及粒狀污染物、硫氧化物。</span></p>
<p><span>環保署空保處網站有更多資料，請看 <a href=""http://air.epa.gov.tw/Public/Main.aspx"">http://air.epa.gov.tw/Public/Main.aspx</a></span></p>
<p><span><strong>Q：連署完可以怎樣？</strong></span></p>
<p><span>A：連署是表達我們的想法、我們的主張，一份連署代表一份力量，愈多人支持實施空污總量管制、改善空污，愈有可能使政府採取行動。</span></p>
<p><span>為了順利把人民的心聲傳到中央政府去，促使政府盡快公告實施空污總量管制，地球公民基金會希望至少有一萬個以上的民眾加入這項連署行動，早日還給我們呼吸乾淨空氣的權利。</span></p>
<p><span><strong>Q：「空污總量管制」實施會不會影響經濟發展？</strong></span></p>
<p><span>A：十多年來，經濟部一直以會影響經濟發展為由不肯公告實施，卻未提出明確且具說服力的資料來證實其說法。</span></p>
<p><span>事實上，「空污總量管制」是透過經濟誘因的正向機制去引導企業往低污染的方向改善與轉型，真正強化企業體質，讓受雇勞工與社區居民共享污染減量後的成果，從長遠計，將提升企業永續經營的能力，對國家、環境與社會亦能促進正向循環。高屏地區環境品質提升後，也將為當地的農漁業、生態旅遊業、觀光產業、銀髮住宅等產業大大加分！</span></p>
<p><span><strong>Q：「空污總量管制」實施後會影響高屏地區就業機會嗎？</strong></span></p>
<p><span>A：「空污總量管制」管制對象以空氣污染物排放量大的鋼鐵、電力、石化等產業為主，「空污總量管制」實施後，將促使這些大型工廠更新設備、降低污染排放，這些大工廠需將原本就應該要負擔的環境成本合理承受。</span></p>
<p><span>長期來看，環境污染問題改善後，願意回鄉發展、移居高雄，或發展服務業、文創產業等等的人也將愈來愈多，高屏的就業機會將不減反增！而整體生活品質的提升將使高屏地區更能發展港都特色與南台風情，吸引國內外觀光客的目光，停駐時間更久，也能爭取更多運動賽事與大型展演機會。</span></p>
<p><span><strong>Q：連署資料有無有個資外洩問題？</strong></span></p>
<p><span>A：連署書僅為個人意見的表達，無需填寫身份證字號、出生年月日等個資，交回地球公民基金會建檔的電話僅供與本案相關的聯繫使用，電子信箱則作為寄發本活動訊息及本會電子報、活動訊息等與環境保護相關的資訊用，地球公民基金會將善盡保密責任，敬請放心！</span></p>
<p><span><strong>Q：一定要填居住地區及電子信箱等資料嗎？</strong></span></p>
<p><span>A：我們會統計連署民眾居住地區的佔比、所以請務必填居住地區；如果您希望知道關於「空污總量管制」行動的後續發展，請務必詳填您的電子信箱。</span></p>
<p><span><strong>Q：我可以把連署書帶回去讓我的家人、朋友一起簽嗎？</strong></span></p>
<p><span>A：歡迎歡迎！請在本會網站空污議題專頁下載連署書，歡迎帶一張空白的連署書給您的朋友，連署完再寄回地球公民基金會（郵寄地址：高雄市左營區博愛二路198號9樓之2 ），或傳真07-556-1285回來亦可。</span></p>
<p><a href=""/iap""><span>【回到反空污行動主頁】</span></a></p>",,,
